C_FLOPs,g_type,Lctx,Q0,delta,recipe,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1
1e+20,exp,32768,0.5,-0.2285239529866762,empirical_best,529892554.6693933,9872491505.9563,0.9845876889177765,2.661449288808599,2.782532059441133,0.006149399924275127,-0.12723217055680916,0.3138815847025842,0.34284239225114266,0.3432760230462733,interior,False
1e+20,exp,131072,0.5,-0.2285239529866762,empirical_best,315564089.71683943,7143295752.712154,1.0,2.7858887425978702,2.9291199764872076,0.0,-0.14323123388933737,0.1352500573069666,0.5909165170446242,0.27383342564840935,ceiling,False
1e+20,pow,2048,0.5,-0.2285239529866762,empirical_best,874375027.6428964,9716384397.123785,1.0,2.6032040468884765,2.716676568938228,0.0,-0.11347252204975154,0.5097458325494469,0.03479864883537558,0.45545551861517747,ceiling,False
1e+20,pow,4096,0.5,-0.2285239529866762,empirical_best,841330917.7121105,9592598693.975054,1.0,2.6094449105141178,2.723920824135308,0.0,-0.11447591362119022,0.48423299174676154,0.06611394447315784,0.4496530637800807,ceiling,False
1e+20,pow,8192,0.5,-0.2285239529866762,empirical_best,784251749.1455965,9365112290.439457,1.0,2.621106156607911,2.7374348079855135,0.0,-0.11632865137760284,0.44067634168332404,0.12033401970232635,0.4389896386143496,ceiling,False
1e+20,pow,32768,0.5,-0.2285239529866762,empirical_best,578771177.6518201,8365987276.557222,1.0,2.6758523621403913,2.800544798028992,0.0,-0.12469243588860095,0.29051953849639,0.31732480791499024,0.3921556535886198,ceiling,False
1e+20,pow,131072,0.5,-0.2285239529866762,empirical_best,331445711.0924155,6508372327.84505,1.0,2.797695655352218,2.9393286700452177,0.0,-0.14163301469300005,0.12943032565540813,0.5654897214768552,0.3050799528677367,ceiling,False
1e+20,log,2048,0.5,-0.2285239529866762,empirical_best,602669416.0915635,19703884131.8114,1.0,2.525266974893127,2.648811762570037,0.0,-0.12354478767691017,0.712495700667276,0.04863970649888604,0.23886459283383796,ceiling,False
1e+20,log,4096,0.5,-0.2285239529866762,empirical_best,582459673.3296149,19289451408.76835,1.0,2.532418133172614,2.6569296772947846,0.0,-0.12451154412217035,0.6741196539755215,0.09203980342279121,0.2338405426016873,ceiling,False
1e+20,log,8192,0.5,-0.2285239529866762,empirical_best,547357262.9197799,18541849232.17834,1.0,2.5457485673866485,2.6720413749340883,0.0,-0.12629280754743966,0.6089409507117817,0.16628147560769715,0.22477757368052126,ceiling,False
1e+20,log,32768,0.5,-0.2285239529866762,empirical_best,418839649.7614329,15455432092.703117,1.0,2.6078036244605913,2.7420610699316557,0.0,-0.13425744547106447,0.388400865877163,0.42423731910209594,0.18736181502074106,ceiling,False
1e+20,log,131072,0.5,-0.2285239529866762,empirical_best,257107775.4428718,10532031546.976793,1.0,2.743155727081529,2.8932520489162696,0.0,-0.15009632183474067,0.16247203211624106,0.709851139784665,0.12767682809909392,ceiling,False
1e+21,exp,2048,0.5,-0.2285239529866762,empirical_best,1682978732.8142457,68396397648.91047,1.0,2.268798711960211,2.3665005792823455,0.0,-0.09770186732213418,0.6906580958653357,0.04714892601107358,0.26219297812359077,ceiling,False
1e+21,exp,4096,0.5,-0.2285239529866762,empirical_best,1625924010.8599439,67019935086.597404,1.0,2.2736925681515365,2.372167521473459,0.0,-0.09847495332192271,0.6538159299814412,0.08926766830679943,0.2569164017117592,ceiling,False
1e+21,exp,8192,0.5,-0.2285239529866762,empirical_best,1526871580.201956,64531581457.04181,1.0,2.282818876450703,2.3827185270926683,0.0,-0.09989965064196546,0.591188626513468,0.1614339076132777,0.24737746587325427,ceiling,False
1e+21,exp,32768,0.5,-0.2285239529866762,empirical_best,1164857002.9995518,54181214616.01112,1.0,2.3253623937104315,2.4316352531309855,0.0,-0.10627285942055409,0.3786802036588934,0.41361976378315396,0.20770003255795264,ceiling,False
1e+21,exp,131072,0.5,-0.2285239529866762,empirical_best,711359725.8691903,37383933188.49543,1.0,2.4184424676552454,2.5373935477507086,0.0,-0.11895108009546336,0.15956054678928144,0.6971306662921565,0.14330878691856222,ceiling,False
1e+21,pow,2048,0.5,-0.2285239529866762,empirical_best,1764317091.9882152,62515367712.08137,1.0,2.274812968987874,2.3714666897445866,0.0,-0.09665372075671237,0.6617815905981201,0.04517762325149834,0.2930407861503814,ceiling,False
1e+21,pow,4096,0.5,-0.2285239529866762,empirical_best,1703315332.7112627,61339352427.083,1.0,2.279622344294594,2.377056401128717,0.0,-0.09743405683412291,0.6268815569257816,0.08559022857226672,0.2875282145019516,ceiling,False
1e+21,pow,8192,0.5,-0.2285239529866762,empirical_best,1597500227.8272674,59207171893.68711,1.0,2.288594501452587,2.387467139250599,0.0,-0.0988726377980122,0.56750082353504,0.1549655582133016,0.27753361825165834,ceiling,False
1e+21,pow,32768,0.5,-0.2285239529866762,empirical_best,1211932382.8173907,50247180045.99848,1.0,2.3304749862910645,2.4357900353308244,0.0,-0.10531504903975968,0.3653771078580083,0.3990892356763739,0.23553365646561789,ceiling,False
1e+21,pow,131072,0.5,-0.2285239529866762,empirical_best,732615697.0631948,35350334937.687325,1.0,2.4223841765494174,2.540537588232106,0.0,-0.11815341168268895,0.15538926163074723,0.6789060433488435,0.16570469502040933,ceiling,False
1e+21,log,2048,0.5,-0.2285239529866762,empirical_best,1385171335.06232,99101488462.84435,1.0,2.2471770665843542,2.349325170072639,0.0,-0.10214810348828494,0.8236352464844473,0.0562268328266716,0.12013792068888109,ceiling,False
