Q0,g,C,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_quality,s_train,s_attn,regime_Q
0.5,pow,5.6234132519034905e+19,587228641.871399,7228975950.249116,0.9215396286756371,2.734440109585537,2.8270098322411323,0.031710016106337086,-0.12427973876193273,0.42338437420076436,0.45293435206265886,0.12368127373657672,interior
0.5,pow,7.498942093324558e+19,721852778.0739377,7350966937.713859,1.0,2.676376763697686,2.7949304668285158,0.0,-0.11855370313082991,0.45950024805775447,0.4245651591502766,0.11593459279196884,ceiling
0.5,pow,1e+20,784249651.550103,9365126342.84803,1.0,2.621106156607523,2.737434879087709,0.0,-0.11632872248018616,0.43899029732100137,0.44067582426607543,0.120333878412923,ceiling
0.5,pow,1.333521432163324e+20,853109133.2223461,11902308703.579666,1.0,2.5694402161078647,2.6835530128615557,0.0,-0.11411279675369096,0.4183815175547663,0.45686412006066734,0.12475436238456626,ceiling
0.5,pow,1.778279410038923e+20,929217883.397304,15089041291.011644,1.0,2.521110555211376,2.633016497196249,0.0,-0.11190594198487304,0.3977433504112211,0.47307549978171787,0.1291811498070611,ceiling
0.5,pow,2.3713737056616553e+20,1013468496.1229299,19079701570.847023,1.0,2.475869563322064,2.5855778579001067,0.0,-0.1097082945780429,0.37714891119782895,0.48925253100296207,0.13359855779920887,ceiling
0.5,pow,3.1622776601683794e+20,1106874194.199136,24061923785.57623,1.0,2.433488834991943,2.541008954084469,0.0,-0.10752011909252594,0.35667414397407127,0.5053355592997975,0.13799029672613136,ceiling
0.5,pow,4.216965034285823e+20,1210584298.7064052,30262923633.904465,1.0,2.393757720345093,2.499099558455428,0.0,-0.10534183811033519,0.33639703763384865,0.5212633240203326,0.14233963834581884,ceiling
0.5,pow,5.6234132519034906e+20,1325904307.8854516,37956828479.060455,1.0,2.3564819870720677,2.45965598938042,0.0,-0.10317400230835236,0.31639615572511975,0.5369741131191456,0.14662973115573472,ceiling
0.5,pow,7.498942093324558e+20,1454315936.20505,47473236137.312645,1.0,2.3214825845712097,2.4224998999200986,0.0,-0.10101731534888891,0.2967495836402664,0.5524065901443237,0.15084382621540998,ceiling
0.5,pow,1e+21,1597500441.1413472,59207166181.91975,1.0,2.2885945014525837,2.3874671362335187,0.0,-0.09887263478093511,0.2775335914777488,0.5675008445660751,0.15496556395617622,ceiling
0.5,pow,1.333521432163324e+21,1757367344.0968506,73630572219.06908,1.0,2.2576657082384086,2.3544066448308825,0.0,-0.0967409365924738,0.2588209675167895,0.5821997008403937,0.15897933164281686,ceiling
0.5,pow,1.7782794100389228e+21,1936078987.161953,91305978338.00029,1.0,2.2285561777034997,2.323179556452933,0.0,-0.09462337874943341,0.24068027276433931,0.5964493039660091,0.1628704232696516,ceiling
0.5,pow,2.3713737056616553e+21,2136088098.629051,112902152592.61462,1.0,2.2011369759100456,2.2936582005270894,0.0,-0.09252122461704392,0.22317395145874608,0.6102006036928576,0.16662544484839634,ceiling
0.5,pow,3.1622776601683794e+21,2360173674.1367283,139212631829.05368,1.0,2.175289417610578,2.2657252660984306,0.0,-0.09043584848785273,0.20635734170918527,0.6234101316695759,0.17023252662123886,ceiling
