indicator,method,n_detected,detect_rate,mean_shift,sd_ratio,skew_before,skew_after,kurt_before,kurt_after
rps_lines_numerical_chars_fraction,iqr,20667.0,0.0758408102603622,-0.3160931705887784,0.5782838592855797,5.206783809043808,1.200043667737634,52.618990854918444,0.2518436054628026
rps_doc_mean_word_length,iqr,8664.0,0.03179391203831122,-0.14150258053022924,0.8537432937614867,2.340537997977511,0.884649613717458,15.043738891869243,0.18268028811734327
fineweb_edu,z3,3518.0,0.012909854865048347,-0.004010272859264807,0.9751323754304357,0.8148232640140228,0.6212274006180873,1.86647529145801,1.0320898690621618
fluency_en,z3,142.0,0.0005210913561219061,1.4527259998037279e-05,0.9996648999100382,-0.6783846636276121,-0.6765029242214227,-0.42871893149536744,-0.43862980625023074
modernbert_cleanliness,z3,795.0,0.002917377662795178,0.0003886447802371462,0.9971880647943278,-0.040929029260099385,-0.019612064285919745,0.38051428257189146,0.2942906973458217
modernbert_readability,z3,297.0,0.0010898882589310288,4.276069216366252e-05,0.9991176580899193,0.07291557776538735,0.07704952288760047,-0.3351671800651168,-0.36355409070074396
modernbert_reasoning,z3,409.0,0.0015009614961173172,-0.00011088865494461586,0.9984695814479261,-0.04357133599198066,-0.05764327758775539,0.009052454423913225,-0.042233921267992525
modernbert_professionalism,z3,1522.0,0.005585341597583844,-0.0001750977810344445,0.9932587238508096,0.2705318494284833,0.23675001100446388,0.3873186125478325,0.16612442611060851
qurater,z3,3144.0,0.011537402983431496,-0.0047484118238529105,0.9919182453583025,1.0152024251119556,0.9704592909518883,1.5274698081798839,1.3462486182826598
ad_en,z3,547.0,0.0020073026183005816,9.022140281736424e-05,0.9980905507631417,-0.4955409944440673,-0.48112411450750553,-0.2878945327585569,-0.35061699481816566
dsir_books,z3,3722.0,0.013658464982293903,1040.084077530798,0.5553155654571039,-18.513635091357756,-3.7811719782015354,770.2315391793946,15.336166215484766
dsir_wiki,z3,3700.0,0.013577732518669382,1039.6939908785052,0.5534695913734622,-18.76687608395971,-3.793815708031444,784.261934092656,15.468448972885255
dsir_math,z3,3065.0,0.011247500045870717,712.1848962290051,0.5360544596796382,-23.60966821106612,-3.68565499885901,1158.3081266914617,15.17273181950733
rps_doc_word_count,z3,2676.0,0.009820003302691694,-112.68538647464993,0.5197187865266064,35.45608029252049,4.043734210744315,3047.6954892540566,17.20943810515332
rps_doc_num_sentences,z3,2185.0,0.008018201500889891,-11.210222044903034,0.4916276035719106,26.416807847900245,3.8165031910737257,1274.3994957596767,16.76357977292734
rps_doc_unigram_entropy,z3,807.0,0.0029614135520449167,0.0010373050373413406,0.9968046987987069,-0.2037467252735243,-0.17702610512800598,-0.05371127708367984,-0.15660645398494832
rps_doc_frac_unique_words,z3,0.0,0.0,0.0,1.0,0.0671046488881996,0.0671046488881996,-0.5546752670966653,-0.5546752670966653
rps_doc_frac_no_alph_words,z3,1854.0,0.006803544889084604,-0.16525467248826686,0.9218658710501395,1.398841120333259,0.4578667731370909,6.4574546706456974,0.10161221789741415
rps_doc_frac_chars_top_2gram,z3,5754.0,0.021115208895249628,-0.16524184092475158,0.8186208035264999,4.260907920685415,1.9336122750887212,45.360035680150794,3.7535069763218
rps_doc_frac_chars_top_3gram,z3,5264.0,0.019317076750885304,-0.17573000138738948,0.7905732221917532,5.971501512928552,2.110086089848644,129.02202125400981,4.438625001664806
rps_lines_uppercase_letter_fraction,z3,1535.0,0.0056329241665290545,-0.04111853229117557,0.9882270554922545,0.67736483980899,0.5824506884946504,0.5373501506503384,0.08235035020192338
rps_lines_ending_with_terminal_punctution_mark,z3,11295.0,0.041448780756316396,-0.15048558551513835,0.9784814254840509,1.5553976528287838,1.471429656840551,2.3881323409081663,2.036386873748124
rps_lines_numerical_chars_fraction,z3,4700.0,0.017247389956147594,-0.10973410338258605,0.7734204175775937,5.206783809043808,2.0949748777717363,52.618990854918444,4.4228339982603515
rps_doc_mean_word_length,z3,4319.0,0.015849250472468396,-0.0735902441658105,0.9062096577109303,2.340537997977511,1.1701110871860223,15.043738891869243,1.31348620421202
fineweb_edu,mad,954.0,0.0035008531953542137,-0.001624713960615809,0.9759279879072735,0.8148232640140228,0.7055973931636347,1.86647529145801,1.134898112314847
fluency_en,mad,0.0,0.0,-0.00014208063891002487,0.9892009756080612,-0.6783846636276121,-0.6884655262874878,-0.42871893149536744,-0.5488093028915699
modernbert_cleanliness,mad,9.0,3.30269169373039e-05,0.0008009675041928399,0.9845353063963308,-0.040929029260099385,0.0010427975818636927,0.38051428257189146,0.0970363549412987
modernbert_readability,mad,0.0,0.0,0.00028655252062928516,0.9858656635554156,0.07291557776538735,0.08937684918856198,-0.3351671800651168,-0.5564331563031679
modernbert_reasoning,mad,0.0,0.0,-0.0005254320954624914,0.9870093942508642,-0.04357133599198066,-0.09307360926103829,0.009052454423913225,-0.21444874649372014
modernbert_professionalism,mad,6.0,2.2018429425429083e-05,-7.725886453294195e-05,0.9775604533340048,0.2705318494284833,0.2460836879159028,0.3873186125478325,-0.097729786172283
qurater,mad,178.0,0.0006531990238711216,0.0006237784748755193,0.9881152777430591,1.0152024251119556,1.018120689421885,1.5274698081798839,1.3532484061396053
ad_en,mad,0.0,0.0,0.00025010959364660246,0.9885712655226447,-0.4955409944440673,-0.45820381862683757,-0.2878945327585569,-0.49291529954066693
dsir_books,mad,31302.0,0.11486761710794298,838.1663478926539,0.6007015005483787,-18.513635091357756,-4.172351233656231,770.2315391793946,19.353145003033333
