Model,eval_file_date,raw_ifeval,raw_bbh_accnorm,raw_bbh_acc,raw_math,raw_gpqa,raw_musr,raw_mmlu_pro
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,results_,24.932069132124983,31.713244228432565,,4.380664652567976,26.51006711409396,33.33333333333333,15.608377659574469
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-1ep_1alp_0lam,results_,25.50410688085391,31.973615691720187,,4.909365558912387,27.01342281879195,32.804232804232804,15.708111702127658
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-2ep_1alp_0lam,results_,24.779695651981186,31.83475091130012,,0.0755287009063444,26.677852348993287,33.06878306878307,15.866023936170212
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-3ep_1alp_0lam,results_,24.747226248576,32.112480472140255,,4.003021148036254,27.097315436241608,32.93650793650794,15.558510638297873
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_3e-7-3ep_1alp_0lam,results_,25.901275282915993,31.678528033327545,,3.625377643504532,27.265100671140942,32.67195767195767,15.857712765957446
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-1ep_1alp_0lam,results_,23.233464984020177,31.76531852109009,,4.531722054380665,28.27181208053691,32.53968253968254,15.475398936170212
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-2ep_1alp_0lam,results_,23.151017079127826,32.424926228085404,,4.1540785498489425,27.01342281879195,33.730158730158735,15.209441489361703
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-3ep_1alp_0lam,results_,22.98368329366082,33.13660822773824,,0.0755287009063444,26.593959731543627,33.2010582010582,15.674867021276595
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-1ep_1alp_0lam,results_,24.687274210206695,31.626453740670023,,0.0,27.936241610738254,32.93650793650794,15.74966755319149
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,results_,25.20434668900739,31.522305155354974,,0.0,27.516778523489933,33.2010582010582,15.757978723404257
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam,results_,26.65815591519391,31.74796042353758,,0.0,27.181208053691275,32.804232804232804,15.66655585106383
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-1ep_0alp_0lam,results_,24.99202117049429,31.661169935775042,,0.0755287009063444,26.51006711409396,33.33333333333333,15.625
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-2ep_0alp_0lam,results_,24.170201731406003,31.69588613088006,,4.003021148036254,26.845637583892618,33.2010582010582,15.74966755319149
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-3ep_0alp_0lam,results_,25.624010957592517,31.800034716195103,,4.229607250755287,26.593959731543627,33.33333333333333,15.757978723404257
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6-3ep_0alp_0lam,results_,24.08276705807258,31.383440374934906,,0.1510574018126888,27.348993288590606,33.06878306878307,15.566821808510639
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,results_,24.812165055386377,31.800034716195103,,0.0755287009063444,27.600671140939596,32.93650793650794,15.915890957446807
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,results_,25.44914161092568,31.574379448012497,,0.0755287009063444,27.181208053691275,32.804232804232804,15.608377659574469
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6-3ep_0alp_0lam,results_,25.199359920566323,31.782676618642597,,0.0,27.265100671140942,32.53968253968254,15.375664893617023
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_1ep_0alp_0lam,results_,23.146030310686754,31.800034716195103,,4.531722054380665,28.02013422818792,32.142857142857146,15.824468085106384
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,results_,25.149381419079152,31.626453740670023,,4.305135951661631,27.181208053691275,32.804232804232804,15.392287234042554
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,results_,24.719743613611882,31.973615691720187,,3.474320241691843,27.265100671140942,32.53968253968254,15.882646276595743
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-2ep_0alp_0lam,results_,24.599839536873276,32.112480472140255,,3.7764350453172204,27.936241610738254,32.93650793650794,15.334109042553193
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,results_,25.236816092412575,32.35549383787537,,5.362537764350453,27.768456375838923,33.5978835978836,15.309175531914892
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-1ep_0alp_0lam,results_,22.64646692996804,32.424926228085404,,0.1510574018126888,27.348993288590606,32.53968253968254,15.683178191489361
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-2ep_0alp_0lam,results_,23.016152697066005,32.06040617948273,,0.0,27.684563758389263,33.99470899470899,15.001662234042554
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-3ep_0alp_0lam,results_,25.236816092412575,32.58114910605798,,4.078549848942599,27.768456375838923,33.86243386243386,15.209441489361703
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7-3ep_0alp_0lam,results_,26.575708010301557,31.591737545565007,,3.625377643504532,26.174496644295303,32.93650793650794,15.74966755319149
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_1ep_0alp_0lam,results_,24.87211709375568,31.713244228432565,,0.0755287009063444,27.181208053691275,32.67195767195767,15.949135638297873
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam,results_,25.601515091069473,31.3660822773824,,0.0,27.684563758389263,32.67195767195767,15.616688829787234
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7-3ep_0alp_0lam,results_,24.987034402053222,31.314007984724874,,0.0,27.01342281879195,32.93650793650794,15.558510638297873
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_1ep_0alp_0lam,results_,24.9595517670891,31.574379448012497,,0.0755287009063444,26.25838926174497,33.06878306878307,15.66655585106383
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_2ep_0alp_0lam,results_,25.149381419079152,31.470230862697445,,4.380664652567976,27.01342281879195,32.67195767195767,15.533577127659576
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-3ep,results_,22.808813946993975,32.12983856969276,,4.531722054380665,26.174496644295303,32.93650793650794,17.461768617021274
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep,results_,23.478259905938465,32.91095295955564,,0.5287009063444109,26.426174496644293,33.99470899470899,16.954787234042552
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam,results_,25.259311958935626,32.16455476479778,,0.1510574018126888,26.76174496644295,35.18518518518518,15.741356382978724
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,results_,24.812165055386377,31.48758896024996,,0.1510574018126888,26.25838926174497,34.65608465608466,15.965757978723405
