variant,value,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1,C_FLOPs,g_type
recipe,mean_zero,2181344125.931773,46839550573.30059,1.0,2.3839598481330664,2.3839598481330664,0.0,0.0,0.6130390710261208,0.1674005356615327,0.2195603933123465,ceiling,False,1e+21,pow
Lctx_crit,30000,1242315666.1413782,51032676851.78613,1.0,2.3264943892673333,2.431215197529741,0.0,-0.10472080826240755,0.38039216362862627,0.38039216362862627,0.2392156727427475,ceiling,False,1e+21,pow
delta,-0.2285239529866762,1270013932.3807328,91632605062.96838,1.0,2.2622180510625873,2.366412485235083,0.0,-0.10419443417249576,0.6982481105418668,0.19066828405196573,0.11108360540616746,ceiling,False,1e+21,log
delta,0.0,1803831704.4994655,66708204981.85016,1.0,1.8287529462467185,2.362258696780198,0.0,-0.5335057505334797,0.721982250579063,0.1971492865581228,0.08086846286281418,ceiling,False,1e+21,log
delta,-0.5,1634823922.0973701,72994242380.63823,1.0,2.3493878881495194,2.3625827124895813,0.0,-0.013194824340062122,0.7159964017154464,0.19551475076176456,0.08848884752278911,ceiling,False,1e+21,log
Q0,0.3,1357907449.5579014,80674815231.044,1.0,2.2691689881327215,2.371782187653702,0.0,-0.10261319952098054,0.6572935955636514,0.17948497116191442,0.16322143327443409,ceiling,False,1e+21,log
Q0,0.7,1200774646.4710743,101948183690.97954,1.0,2.2568512255180666,2.362389110795287,0.0,-0.10553788527722041,0.7345007653794247,0.20056767566627487,0.06493155895430043,ceiling,False,1e+21,log
recipe,enet_trust_region,910841099.5677404,122404410466.11499,1.0,2.171471147745716,2.378194931801486,0.0,-0.20672378405576983,0.6689458069253833,0.182666801677758,0.1483873913968588,ceiling,False,1e+21,log
recipe,mean_zero,1803831704.4994655,66708204981.85016,1.0,2.362258696780198,2.362258696780198,0.0,0.0,0.721982250579063,0.1971492865581228,0.08086846286281418,ceiling,False,1e+21,log
Lctx_crit,30000,1018924724.2525111,74408259213.79878,1.0,2.30323620929393,2.412809973420605,0.0,-0.10957376412667556,0.45489849000917576,0.45489849000917576,0.09020301998164856,ceiling,False,1e+21,log
delta,-0.2285239529866762,3474452811.1303983,329243114099.9227,1.0,2.083665672910977,2.166452596397345,0.0,-0.08278692348636779,0.6863637979978818,0.18742307443995493,0.12621312756216344,ceiling,True,1e+22,exp
delta,0.0,5153003382.527121,231512920063.61563,1.0,1.6292425803970616,2.1627483309305413,0.0,-0.5335057505334797,0.7157921161119253,0.1954589671729631,0.08874891671511172,ceiling,False,1e+22,exp
delta,-0.5,4747965162.625548,249374757235.32764,1.0,2.155164042279725,2.162906615891784,0.0,-0.007742573612058629,0.7104135958749234,0.19399027258024576,0.09559613154483079,ceiling,False,1e+22,exp
Q0,0.3,3489917590.516155,326464754484.0525,1.0,2.0839814117659214,2.166684357221962,0.0,-0.08270294545604032,0.6836010536144594,0.18666866104032173,0.12973028534521866,ceiling,True,1e+22,exp
Q0,0.7,3422350802.2637258,338883005777.43604,1.0,2.082603247878629,2.165676515524116,0.0,-0.08307326764548716,0.6958659160175706,0.1900177861338646,0.11411629784856475,ceiling,True,1e+22,exp
recipe,enet_trust_region,2378106497.4803996,454579315827.05927,1.0,2.0111877343473723,2.177201556790714,0.0,-0.16601382244334165,0.6486228147531145,0.17711726994858384,0.1742599152983017,ceiling,True,1e+22,exp
recipe,mean_zero,5153003382.527121,231512920063.61563,1.0,2.1627483309305413,2.1627483309305413,0.0,0.0,0.7157921161119253,0.1954589671729631,0.08874891671511172,ceiling,False,1e+22,exp
Lctx_crit,30000,2782660639.9394894,268634069198.8711,1.0,2.1118778805004266,2.1989737248613417,0.0,-0.08709584436091498,0.4485104705438878,0.4485104705438878,0.1029790589122244,ceiling,False,1e+22,exp
