r2_raw,r2_scale_corrected,rmse,scale,model,domain
-124.89504025619503,-1.4032340933799032,3.4564691935090894,10b,ref_ridge,freelaw
-192.12556838550506,-2.071509557452663,3.473365192410653,10b,ref_ridge,pubmed_central
-282.9734422970808,-0.9174013652372006,3.8827718077979787,10b,ref_ridge,wikipedia_en
-39.56380035189589,-0.33069936542171274,2.6967618632946553,10b,ref_ridge,dm_mathematics
-180.2005387599978,-2.485927852502866,3.6709459766184716,10b,ref_ridge,github
-358.5614898170638,-2.645655103678004,3.5852365044815926,10b,ref_ridge,stackexchange
-281.42661801108375,-0.575588982331356,3.593942502620866,10b,ref_ridge,gutenberg_pg_19
-326.579038460753,-0.6316045601995137,3.8053036264211815,10b,ref_ridge,pile_cc
-199.4822056182996,-0.2741344527890093,4.387402558821589,10b,ref_ridge,ubuntu_irc
-435.82618375145415,-0.6566106810611227,3.588122643273534,10b,ref_ridge,hackernews
-288.2981884318368,-1.8534444616643717,3.654082649312922,10b,ref_ridge,pubmed_abstracts
-235.96088868973465,-0.9362931290707035,3.4490820083213434,10b,ref_ridge,uspto_backgrounds
-124.43990245247386,-4.264123655097553,3.424552100784243,10b,ours_e2,arxiv
-126.10165512794508,-2.018133568220549,3.472993599872952,10b,ours_e2,freelaw
-194.3681434779924,-5.486751031968316,3.4934733541057232,10b,ours_e2,pubmed_central
-278.58910608438185,-1.9923461666118225,3.8526816766255934,10b,ours_e2,wikipedia_en
-45.580774421708576,-3.7813570893805473,2.8898588565799983,10b,ours_e2,dm_mathematics
-175.9315976975404,-5.792680539457333,3.627445954364988,10b,ours_e2,github
-350.5925506603883,-8.180227024107774,3.5452842111863703,10b,ours_e2,stackexchange
-276.73251074460217,-1.7985733182905728,3.563950571698365,10b,ours_e2,gutenberg_pg_19
-325.9180625740778,-0.9059714114470183,3.801462593114296,10b,ours_e2,pile_cc
-209.7554645035359,-3.8679760319870597,4.498409527804298,10b,ours_e2,ubuntu_irc
-439.36794510830885,-2.3203846759677402,3.6026394224960607,10b,ours_e2,hackernews
-282.67641243136336,-2.6863739043321146,3.618404559924674,10b,ours_e2,pubmed_abstracts
-231.23584875253763,-2.2107809417329642,3.4145212163937817,10b,ours_e2,uspto_backgrounds
-244.6369757168384,-5.504185875019459,3.7501301845409345,70b,ref_ridge,arxiv
-215.4476391978965,-2.9155410850766357,3.8281973910594664,70b,ref_ridge,freelaw
-353.2264219727931,-4.436664771836967,3.843039432517806,70b,ref_ridge,pubmed_central
-424.3816024818634,-1.5599328542963447,4.2961497393333055,70b,ref_ridge,wikipedia_en
-84.22537652492088,-1.232507269468544,2.9832782458076337,70b,ref_ridge,dm_mathematics
-348.5436229656503,-5.3817229822320485,4.054817523053453,70b,ref_ridge,github
-650.8875417782722,-5.414105212290239,3.9618201164659212,70b,ref_ridge,stackexchange
-426.7901532061639,-1.1863282802435777,3.977693836093262,70b,ref_ridge,gutenberg_pg_19
-463.6228772553735,-0.95999366941195,4.214138455739087,70b,ref_ridge,pile_cc
-359.08441983430026,-0.8056511791444367,4.866708423165848,70b,ref_ridge,ubuntu_irc
-606.4000421169238,-0.9414041278415057,3.9749652382505616,70b,ref_ridge,hackernews
-440.51913688346525,-2.855936506459393,4.04004034064604,70b,ref_ridge,pubmed_abstracts
-370.05988108179247,-1.7777769250542583,3.8153117672595664,70b,ref_ridge,uspto_backgrounds
-250.49456431537166,-9.392984684752392,3.79458053817423,70b,ours_e2,arxiv
-217.49241994888322,-4.04142678952107,3.8462373748050607,70b,ours_e2,freelaw
-357.20100141465645,-10.35606131866093,3.86453960401068,70b,ours_e2,pubmed_central
-418.49284859142546,-3.0683244044308964,4.266309313696204,70b,ours_e2,wikipedia_en
-96.77726947019406,-8.901409232980013,3.195422209683564,70b,ours_e2,dm_mathematics
-341.5556657916444,-11.6444306600852,4.014081634589178,70b,ours_e2,github
-638.090181021526,-14.795368657763515,3.922739645586673,70b,ours_e2,stackexchange
-420.39656798817214,-2.896732598257613,3.9478574031144174,70b,ours_e2,gutenberg_pg_19
-462.7739199129718,-1.3095209331416933,4.210286665707453,70b,ours_e2,pile_cc
-376.4676225627202,-7.375084969364261,4.982794941539106,70b,ours_e2,ubuntu_irc
-610.9076110867635,-3.091335570200096,3.9896872581674248,70b,ours_e2,hackernews
-432.8790328636716,-4.135695825340782,4.004933113648381,70b,ours_e2,pubmed_abstracts
-363.4351076218253,-3.6541628271934243,3.7810997556403607,70b,ours_e2,uspto_backgrounds
