index,L_1m,L_10b,L_70b,gamma_10b,gamma_70b
45,5.588743741695698,1.610869230769231,1.2298076923076922,0.13506347760536525,0.13569941948364234
46,4.864920946267935,1.850523076923077,1.4916692307692307,0.10494532053952399,0.10596344011693395
47,5.89624966107882,1.6495769230769228,1.2510076923076925,0.13830082297869237,0.1389684746519392
48,5.411233351780818,1.791553846153846,1.4048538461538462,0.12001659925232128,0.1208778672859719
49,5.7741538011110745,1.7416461538461538,1.3366846153846152,0.13013210564452468,0.13115511653653822
50,5.143856727159941,1.7364769230769228,1.3706769230769233,0.11790496186768634,0.11854326947835966
51,5.70809296461252,1.6761076923076923,1.2810384615384616,0.13304727959717252,0.13393513674721058
52,5.145880625798152,1.9167615384615384,1.5345307692307695,0.1072229052334754,0.10845685719640075
53,5.5614226047809305,1.6852461538461538,1.3008923076923078,0.12963063828056565,0.13022327863859698
54,5.299323155329778,1.8305307692307693,1.444653846153846,0.11541084262901857,0.1165005539611042
55,5.317342171302209,1.8313230769230766,1.447576923076923,0.1157324100013387,0.11662363740645863
56,4.808996420640212,1.8824615384615382,1.5292615384615382,0.10183208553915356,0.10269610309863451
57,5.887269716996413,1.7857384615384613,1.3659538461538463,0.12952402005668864,0.13095254260814493
58,5.4202854083134575,1.702676923076923,1.326453846153846,0.12572247630839373,0.12617495183385477
59,5.7707441953512335,1.6271923076923078,1.2387692307692306,0.1374482352189503,0.13792113354666824
60,5.324331246889555,1.7722615384615388,1.3886,0.11943431355227142,0.12046978224444219
61,5.112476293857281,1.9224923076923077,1.5410000000000001,0.10619167411515401,0.10749600198212274
62,4.98912211564871,1.8331846153846152,1.4675307692307693,0.10870448254071828,0.10968548291770903
63,5.187093367943397,1.9015846153846154,1.5115076923076922,0.1089521025690996,0.11052690765996454
