indicator,method,mean,sd,skew,kurt,p01,p50,p99,n_detected
modernbert_reasoning,iqr,0.07184855452139761,0.24297402389147624,-0.07800282575520708,-0.10550068243491495,-0.49267578125,0.076171875,0.6446940104166666,1638.0
modernbert_professionalism,iqr,-0.14658974225071278,0.1385775218232634,0.1974970216865391,-0.03161598522165043,-0.4563802083333333,-0.15216064453125,0.2188313802083335,3721.0
qurater,iqr,-0.2687798340832062,1.6784312704697215,0.46053255758603534,0.1016317241762712,-3.783203125,-0.40234375,3.4366455078125,20150.0
ad_en,iqr,0.20885354319175833,0.1550100925268536,-0.4755143359304696,-0.37132653824427564,-0.1822509765625,0.23046875,0.48046875,854.0
dsir_books,iqr,-4123.777723188814,4110.624236642706,-1.1460779211870165,-0.09663451723082561,-12641.462612129999,-2395.40011578,-121.000577282,35262.0
dsir_wiki,iqr,-4147.948086644083,4135.8947423819845,-1.1460882590315626,-0.09550317396182884,-12723.146902289998,-2410.21323306,-120.79513305399958,35172.0
dsir_math,iqr,-3896.2650219151783,3846.1166642186486,-1.1441273985466136,-0.07838476342317602,-11929.118028715,-2302.11769678,-116.46098352639987,33866.0
rps_doc_word_count,iqr,313.3208931946203,349.91506355920603,1.1753955317159563,-0.0975554018214928,4.0,152.0,1035.5,36522.0
rps_doc_num_sentences,iqr,51.433735160822735,58.50725977928115,1.1852655654947442,-0.07579910442733695,1.0,24.0,173.0,35000.0
rps_doc_unigram_entropy,iqr,4.111366693218949,1.070622731404229,-0.15030844652027148,-0.24023468435299788,1.38629436,4.13445314,6.295716368000001,1779.0
rps_doc_frac_unique_words,iqr,57.2003861283964,20.75385948949934,0.0671046488881996,-0.5546752670966653,14.975891081701343,56.896551724137936,100.0,0.0
rps_doc_frac_no_alph_words,iqr,33.51021368339123,9.208396514768342,0.3676687770684325,-0.21944773570393172,17.047325872625287,33.16261203585147,59.16735049042558,2895.0
rps_doc_frac_chars_top_2gram,iqr,3.161274352142483,3.3038075059994036,1.1838886948302918,0.4176264444129054,0.0,2.0,11.262278978388998,16583.0
rps_doc_frac_chars_top_3gram,iqr,2.4943598988983378,3.0672149692214017,1.282654532024804,0.521583792983856,0.0,1.0,10.0,17031.0
rps_lines_uppercase_letter_fraction,iqr,22.027841087910982,11.99465802507713,0.5006601780456591,-0.18020601279412096,1.3627941416169524,20.76840610846001,52.53944204331953,4685.0
rps_lines_ending_with_terminal_punctution_mark,iqr,29.453558985204012,17.92244062839823,0.8775455222420411,0.05936734583782899,0.0,25.0,70.51723059603478,18493.0
rps_lines_numerical_chars_fraction,iqr,1.5419346072908613,1.7931233222824072,1.200043667737634,0.2518436054628026,0.0,0.8166723873207329,5.736602177709363,20667.0
rps_doc_mean_word_length,iqr,8.682534776156695,3.255265762475796,0.884649613717458,0.18268028811734327,4.232760445174238,8.056603773584905,17.277287662998596,8664.0
fineweb_edu,z3,1.2337941436664417,0.5538871356670488,0.6212274006180873,1.0320898690621618,0.029795087873935644,1.1810027360916138,2.9418411697589977,3518.0
fluency_en,z3,0.16076425644424008,0.15527921265347952,-0.6765029242214227,-0.43862980625023074,-0.205078125,0.203857421875,0.40106079101562564,142.0
modernbert_cleanliness,z3,-0.4054951653861852,0.5389719949944866,-0.019612064285919745,0.2942906973458217,-1.757158203125,-0.4159342447916667,0.852454427083335,795.0
modernbert_readability,z3,-0.1328327599715302,0.32342124056588895,0.07704952288760047,-0.36355409070074396,-0.8279622395833334,-0.1258951822916666,0.6057932535807298,297.0
modernbert_reasoning,z3,0.07208190888301291,0.24376686173841586,-0.05764327758775539,-0.042233921267992525,-0.49267578125,0.076171875,0.6446940104166666,409.0
modernbert_professionalism,z3,-0.14627630075185566,0.14001465875421487,0.23675001100446388,0.16612442611060851,-0.4563802083333333,-0.15216064453125,0.2230647786458348,1522.0
qurater,z3,-0.1796620402387274,1.9092618590294037,0.9704592909518883,1.3462486182826598,-3.783203125,-0.40234375,5.599539663367463,3144.0
ad_en,z3,0.20880724067333895,0.1551467336309448,-0.48112411450750553,-0.35061699481816566,-0.1822509765625,0.23046875,0.48046875,547.0
dsir_books,z3,-7208.074496182572,14301.568206223477,-3.7811719782015354,15.336166215484766,-85510.00262692975,-2395.40011578,-121.000577282,3722.0
dsir_wiki,z3,-7212.334355992541,14286.973499005973,-3.793815708031444,15.468448972885255,-85692.45355732646,-2410.21323306,-120.79513305399958,3700.0
dsir_math,z3,-6025.531731410415,10831.031797534899,-3.68565499885901,15.17273181950733,-67353.0045072021,-2302.11769678,-116.46098352639987,3065.0
rps_doc_word_count,z3,779.0798838873618,1940.351956000867,4.043734210744315,17.20943810515332,4.0,152.0,12000.920000000042,2676.0
rps_doc_num_sentences,z3,85.3875101068006,170.18328102790326,3.8165031910737257,16.76357977292734,1.0,24.0,1012.0,2185.0
rps_doc_unigram_entropy,z3,4.109894113164752,1.0749937100921627,-0.17702610512800598,-0.15660645398494832,1.38629436,4.13445314,6.295716368000001,807.0
rps_doc_frac_unique_words,z3,57.2003861283964,20.75385948949934,0.0671046488881996,-0.5546752670966653,14.975891081701343,56.896551724137936,100.0,0.0
rps_doc_frac_no_alph_words,z3,33.55094332717911,9.331265192839904,0.4578667731370909,0.10161221789741415,17.047325872625287,33.16261203585147,59.63724968146392,1854.0
rps_doc_frac_chars_top_2gram,z3,3.440201264697023,4.130643261243585,1.9336122750887212,3.7535069763218,0.0,2.0,18.743013187334963,5754.0
rps_doc_frac_chars_top_3gram,z3,2.8035986396264794,3.997385967611116,2.110086089848644,4.438625001664806,0.0,1.0,18.148268805198505,5264.0
rps_lines_uppercase_letter_fraction,z3,22.09298173957741,12.173293444466502,0.5824506884946504,0.08235035020192338,1.3627941416169524,20.76840610846001,55.33977608691523,1535.0
rps_lines_ending_with_terminal_punctution_mark,z3,30.742690766548602,21.35226827393433,1.471429656840551,2.036386873748124,0.0,25.0,96.35870605296157,11295.0
rps_lines_numerical_chars_fraction,z3,1.7482936744970536,2.3981962602260793,2.0949748777717363,4.4228339982603515,0.0,0.8166723873207329,11.160327816986685,4700.0
rps_doc_mean_word_length,z3,8.750447112521114,3.455316479704543,1.1701110871860223,1.31348620421202,4.232760445174238,8.056603773584905,20.262835598252607,4319.0
fineweb_edu,mad,1.2361797025650907,0.5543390533010031,0.7055973931636347,1.134898112314847,0.029796146452426852,1.1810027360916138,3.0383455753326416,954.0
fluency_en,mad,0.16060764854533202,0.15365383806343158,-0.6884655262874878,-0.5488093028915699,-0.205078125,0.203857421875,0.4010596191406262,0.0
modernbert_cleanliness,mad,-0.4050828426622295,0.5321332825422289,0.0010427975818636927,0.0970363549412987,-1.7571550781249998,-0.4159342447916667,0.8524513020833365,9.0
