N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1,C_FLOPs,g_type,dominant,eN,eD,shift_event
4827540476.355051,582530914544.0731,1.0,2.028996987249589,2.1057896090316452,0.0,-0.07679262178205642,0.7115348108926561,0.19429643902775465,0.0941687500795892,ceiling,True,2.371373705661655e+22,exp,train,0.38454254567082774,0.6535398655171659,False
5397672726.16227,701745676760.2721,1.0,2.012614270239493,2.0874726651836744,0.0,-0.07485839494418127,0.7186832860115488,0.1962484493002203,0.08506826468823106,ceiling,True,3.1622776601683792e+22,exp,train,0.3878449992687055,0.6468861417514139,False
6040484280.253688,843847542095.5887,1.0,1.997059490231431,2.070017611189181,0.0,-0.07295812095775017,0.7252487660935575,0.1980412630612808,0.07670997084516157,ceiling,True,4.2169650342858225e+22,exp,train,0.39092167803353767,0.6406739518803852,False
6765314356.741983,1013052204367.6326,1.0,1.982283701127061,2.053376654194562,0.0,-0.07109295306750119,0.7312587194281926,0.19968238098519178,0.06905889958661565,ceiling,True,5.623413251903491e+22,exp,train,0.39372978279813425,0.6349426892251844,False
7582708413.218287,1214340795774.1924,1.0,1.9682416619489236,2.0375054606420195,0.0,-0.06926379869309592,0.7367432942437018,0.2011800355481468,0.06207667020815161,ceiling,True,7.498942093324558e+22,exp,train,0.3962909965229891,0.6296700758831093,False
8504551685.967445,1453602459523.2126,1.0,1.9548915025414721,2.0223628879085256,0.0,-0.06747138536705342,0.7417342348718737,0.202542895069013,0.0557228700591132,ceiling,True,1.0000000000000001e+23,exp,train,0.39861655216000047,0.6248405100150874,False
9544207134.494478,1737806367959.368,1.0,1.942194417980646,2.0079107357810115,0.0,-0.0657163178003655,0.7462639985564037,0.2037798225391353,0.04995617890446104,ceiling,True,1.3335214321633241e+23,exp,train,0.40070744967209326,0.6204458813498894,False
10716678170.366465,2075205956531.583,1.0,1.9301143901777262,1.994113483276214,0.0,-0.06399909309848771,0.7503651309629583,0.2048997050949518,0.04473516394208982,ceiling,True,1.7782794100389228e+23,exp,train,0.40256266102359445,0.6164785680603238,False
12038927509.258936,2475555569167.9746,1.0,1.918617935078469,1.9809378785187786,0.0,-0.06231994344030962,0.7540701148334591,0.2059114126905232,0.04001847247601772,ceiling,True,2.371373705661655e+23,exp,train,0.40422088550100377,0.6128917931118008,False
13529922068.935904,2950425615085.217,1.0,1.9076738737932766,1.9683529797310473,0.0,-0.06067910593777079,0.7574103149469119,0.20682351000150342,0.03576617505158462,ceiling,True,3.162277660168379e+23,exp,train,0.40565996554283995,0.6096959232727371,False
15211061342.771818,3513504994424.555,1.0,1.8972531259473462,1.9563297242139182,0.0,-0.05907659826657207,0.7604161698823988,0.2076443087892204,0.03193952132838074,ceiling,True,4.2169650342858225e+23,exp,train,0.40691378111887677,0.6068472428874957,False
17106372455.216845,4181015316908.0425,1.0,1.8873285235285506,1.944840874725804,0.0,-0.05751235119725322,0.7631166558259155,0.20838172148419667,0.028501622689887884,ceiling,True,5.623413251903491e+23,exp,train,0.407987247148334,0.6043294667648478,False
19242844809.424683,4972180488670.857,1.0,1.8778746435207012,1.9338608387219591,0.0,-0.0559861952012579,0.7655391625955977,0.20904322733277125,0.025417610071631142,ceiling,True,7.498942093324558e+23,exp,train,0.40889082968411605,0.6021210116001361,False
21650840192.732635,5909773934382.525,1.0,1.868867657650869,1.9233654959508104,0.0,-0.054497838299941585,0.7677094261709573,0.20963585397308274,0.02265471985596024,ceiling,True,1e+24,exp,train,0.40964381679516404,0.6001918654959506,False
