domain,id,group_std,weighted_divergence,deltaQ,conflict_strength
arxiv,BkiUeGvxK6nrxjHzCYv8,0.22683895535560455,0.8418567383103311,0.028789986277109936,-0.4886593244275761
arxiv,BkiUd0Q4eIZjxkFh19au,0.15515960303833307,0.823548880507798,0.006804631282928075,-1.7315951347364251
arxiv,BkiUfEs5qhDCNj5tich1,0.22893265026736231,1.3008273570989195,0.013031556252908416,0.15244461329308767
arxiv,BkiUeZbxaKgTq1C9OpJ4,0.21436370412310676,1.2483843025919237,0.015877248581728898,-0.04914059738456032
arxiv,BkiUdgg5qoYDgbkp4TEY,0.2228025968054191,1.3375664763561643,0.015643557392898577,0.21803371306128624
arxiv,BkiUbVHxK7FjYCv2QCBP,0.21599698356609798,1.1646696936738106,0.009630778621225189,-0.3337804033206059
arxiv,BkiUfXDxK1ThhAqzYsFE,0.24744609064282436,1.4344248084409215,0.02893907342655444,0.9506506737525269
arxiv,BkiUbq825V5hd-4287Pf,0.25766281748107944,1.5172193954119328,0.03381085122841587,1.3289534213596206
arxiv,BkiUdBw25YjgKNDlVLJa,0.2352231959892204,1.398056469127017,0.03006887484406673,0.7712101202369223
arxiv,BkiUbSLxK7Ehm4qsy0t6,0.219151987832007,1.2652917758444597,0.028800918169281875,0.30330775438042096
arxiv,BkiUdgc5qhLBWY0XuZmA,0.25889001887715984,1.558052244337889,0.031299153843123984,1.3739128643738254
arxiv,BkiUd3c4eIZijir1ousz,0.24603526201960488,1.4969842038821726,0.0016374819425936105,0.4996191480069686
arxiv,BkiUd3A4dbjiVENjpLkA,0.18503133192961668,1.0495121257311784,0.01415560976724306,-0.8013827534737383
arxiv,BkiUdNs5qWTA6f4qDodK,0.20014983505789866,1.1523892979488901,0.021617305517200314,-0.27680611332038096
arxiv,BkiUdbfxK02iP5rWKrVw,0.20029823675160582,0.9833269279953137,0.021230030805926448,-0.6315022059895605
arxiv,BkiUexfxK6nrxjHzDAkJ,0.1874017946504762,1.0077885821346928,0.004556244597429204,-1.0612178697878405
arxiv,BkiUbUY5qhLACFWlxBr3,0.2557448120540295,0.994375266775906,0.032511442751300246,0.2050354913705189
arxiv,BkiUajHxK6nrxjHy_BsR,0.23254293767407852,1.2950600178035152,0.023143078051403032,0.38764989660744015
arxiv,BkiUbVI5i7PA9OgJDNwj,0.2175102549176901,1.2885971281334665,0.01585825614014802,0.06622564376589249
arxiv,BkiUbEQ241xg-EsBtZ7v,0.20449073379070704,1.1705996490281354,0.01081779488372192,-0.41741121650835333
arxiv,BkiUdNc5qsBDGOt8lJgH,0.2264716283553546,1.3146424497063014,0.022676029693626032,0.3547801984524783
arxiv,BkiUd9c4uzqh_N6SCiss,0.18487680425954678,0.7759763689015886,0.045145262935822106,-0.724959267301445
arxiv,BkiUd6I4eILhQCVbe7nL,0.22760665486744738,1.352723110087708,0.028331936228632504,0.5621704148121922
arxiv,BkiUbv_xK7Ehm2ZQzdWT,0.20197159061932657,1.124083959603431,0.0010462762206114862,-0.7418515561870637
arxiv,BkiUdmA5qhLAB_d2fBwl,0.25687303825346375,1.4394231241819302,0.02828649382966819,1.046093511658315
arxiv,BkiUakrxK5YsWOzBAUlJ,0.19330379349728113,1.1072323527678467,0.013556890492037676,-0.6083110122898562
arxiv,BkiUd6TxK6wB9lIs9ivi,0.21904076670935896,1.2602385753214302,0.015273069276045215,0.01171719121132396
arxiv,BkiUdjg5qX_Bw5o9IG_E,0.1824397172964607,1.0091637427961468,0.004781027411082994,-1.105661839788042
arxiv,BkiUe0nxK7kjXLlzdoBA,0.16989503622765292,0.7490045269173821,0.007675287912635165,-1.71290874197476
arxiv,BkiUd2Y4ubnhDSvJRyHO,0.2137950940780228,1.2232323584001363,0.018105286796486153,-0.0607799318898672
arxiv,BkiUe404uzliCt-nLV60,0.22185501208044772,1.3260905830472423,0.02076379675454587,0.29046486253867215
arxiv,BkiUdmQ5qoTA_-bStSha,0.2589374378973411,1.5699878706269321,0.013565864192627286,1.0319258934280753
arxiv,BkiUbhzxK3YB9raXyg57,0.18605586903552343,1.007071707562518,0.017802674386304007,-0.8025870481914132
arxiv,BkiUeFrxK4sA-9F9lSY9,0.22495936875863817,1.312731353915427,0.01527585093149908,0.1818384615764676
arxiv,BkiUbuo5qoaAwmU2sBb7,0.24957223723098673,1.483959638433691,0.02219015664327917,0.9352342340225767
arxiv,BkiUd5E5qg5A51O-MOXL,0.16975218861567082,0.7714287305704501,0.02765289577205099,-1.2546904612471692
arxiv,BkiUbynxK4sA-9F9jLdg,0.1867117503419687,0.8378704083531836,0.02703417467026903,-0.9531557301686637
arxiv,BkiUa245qsNCPV6Yix3b,0.23933095973805296,1.3410246229215195,0.021079808701596647,0.5106572301276388
arxiv,BkiUdd4241xg-QyzEflc,0.2525630207813094,1.5243234336336131,0.028821859012534867,1.1869465544081808
arxiv,BkiUbb04dbjiU9i0yjOT,0.24882304379336218,1.3271384996928477,0.0055971881950905855,0.2609111312796343
arxiv,BkiUec7xK02iP4Y2vYfY,0.1797840783190705,0.8336579372651677,0.01709339790072184,-1.2401002571674904
arxiv,BkiUbL7xK7Ehm308osVM,0.22071116647816433,1.3381325435000657,0.018275450724408837,0.2517909117557913
arxiv,BkiUdgs5qhLA5d-DF18W,0.2387210103641102,0.7307061775059714,0.06310604410150711,0.11706374834185085
arxiv,BkiUal_xK2li-DeXxupJ,0.19874955529007338,0.791638728854443,0.023879062589859168,-0.9877134695403023
arxiv,BkiUbQHxK0iCl7UGVngH,0.2514188476542106,1.4950779858067833,0.030254401314253276,1.1443857832977526
arxiv,BkiUdY45qoYA4xX7Fs7m,0.18852205755784313,1.0622404199682969,0.00816730111541697,-0.8625881140349078
arxiv,BkiUc5025V5ipNhMBkE8,0.2400151005150827,1.11864919879429,0.018475973973388626,0.005872721538552811
arxiv,BkiUbmzxK1UJ-rRH-1MD,0.24794263898458674,1.4663764462903754,0.03201304182955922,1.0852900463818835
arxiv,BkiUbh04uzqh_Kly7RNW,0.2679041592197695,1.6419257080655234,0.021457424849840145,1.4372920405388276
arxiv,BkiUdK84eIZjvCjkaEGo,0.17919014487430968,0.7859250494611163,0.002224316294880513,-1.65241635977135
arxiv,BkiUbLPxK6-gDw5AtUZ3,0.252212748302141,1.4434352999153892,0.012224718243774912,0.6731178616232779
arxiv,BkiUd1_xaKgQMdMtQloi,0.18428188314262342,1.0124736091886803,0.011529902177427775,-0.9398679682111278
arxiv,BkiUaafxK1Thg9qFa1Qs,0.2078398044585405,1.1385696984381573,0.02493112095976735,-0.15620020295370385
arxiv,BkiUbRw4ubnjorKKr43C,0.2344904177582976,1.3233181683201716,0.027255562992327675,0.5513624748911324
arxiv,BkiUfgM5qhDCiwNLy3CU,0.1477890865417672,0.7212437966186741,0.006339176197963314,-2.0290909420955634
arxiv,BkiUa2nxK4sA-5Y3qUsP,0.22645423404509146,1.290123382099967,0.017033080044284388,0.18728850037620368
arxiv,BkiUa_U4ubnjoqNEqKRH,0.1920562546727795,1.0003263625378684,0.0038399136589011285,-1.0427059899639102
arxiv,BkiUdW85qsJBjnJ89-mW,0.17771536527981088,0.9650690795435184,0.021361474650190115,-0.9027240904414301
arxiv,BkiUdlg4eILhQJztnknv,0.22061162306580134,1.2369939764913145,0.02401696203984416,0.16127078134840606
arxiv,BkiUfQPxK0zjCrsOBupv,0.2201833846196748,1.1503808370416848,0.010246610275621237,-0.3066533697329477
arxiv,BkiUfufxK3YB9i3RN54o,0.18665139292689523,0.9755057771828184,0.008356873129220954,-1.0568961239722938
arxiv,BkiUdX85qdmDH5kXI0R3,0.24925115963026637,1.4930328384818927,0.027025441636516323,1.050650354084699
arxiv,BkiUbjE5qoaAwj4XNMHR,0.25860635928224907,1.5713367511235878,0.0174604751206473,1.1118555124967107
arxiv,BkiUbdM5qsMAIwbUZ5AS,0.2208081939789537,1.3011996869376612,0.02224289939646429,0.2588561638331812
arxiv,BkiUdTrxK02iP5rWKmQx,0.1963186145255301,1.101442954729951,0.009750062248465197,-0.6674840804815473
