C_FLOPs,g_type,Lctx,regime_Q,budget_use,feasible,m_N_per_FLOP,m_D_per_FLOP,m_Q_per_FLOP,rel_dev_active,boundary_dir_ok,n_feas_pert,n_improve_pert,improve_rate,max_improve_rel
1e+21,pow,2048.0,ceiling,1.0,True,1.0910388005500028e-22,1.0910389078709462e-22,2.957304256621849e-22,1.089390982475636,True,200,0,0.0,0.0
1e+21,pow,4096.0,ceiling,1.0,True,1.0968538451526922e-22,1.0968533402566344e-22,3.0163636608665286e-22,1.1052692241115811,True,200,0,0.0,0.0
1e+21,pow,8192.0,ceiling,1.0,True,1.1077684961824546e-22,1.1077680958619619e-22,3.1295517498114964e-22,1.134752238677238,True,200,0,0.0,0.0
1e+21,pow,32768.0,ceiling,1.0000000000000002,True,1.1598292643928027e-22,1.1598283038591683e-22,3.712643610895056e-22,1.2695728700652467,True,200,0,0.0,0.0
1e+21,pow,131072.0,ceiling,0.9999999999999999,True,1.2797827818541765e-22,1.2797825251637434e-22,5.354251008284331e-22,1.5445652214250207,True,200,0,0.0,0.0
1e+21,log,2048.0,ceiling,1.0000000000000002,True,9.590439488136193e-23,9.590438739714584e-23,2.013466891295213e-21,2.608602443961931,True,200,0,0.0,0.0
1e+21,log,4096.0,ceiling,0.9999999999999998,True,9.664557748127336e-23,9.664558150504692e-23,2.0719700332825366e-21,2.61602211154662,True,200,0,0.0,0.0
1e+21,log,8192.0,ceiling,0.9999999999999999,True,9.803083008557241e-23,9.803085005914281e-23,2.184629849124682e-21,2.6294028353343104,True,200,0,0.0,0.0
1e+21,log,32768.0,ceiling,1.0,True,1.0453383100824805e-22,1.0453377607602664e-22,2.7742899463876882e-21,2.684649213975034,True,200,0,0.0,0.0
1e+21,log,131072.0,ceiling,1.0,True,1.1894245155519691e-22,1.189424295159874e-22,4.4852611570391055e-21,2.7733540476783967,True,200,0,0.0,0.0
1e+22,exp,2048.0,ceiling,1.0,True,6.708513198975545e-24,6.708506606505171e-24,4.0015090315125563e-23,1.8700319134004548,True,200,0,0.0,0.0
1e+22,exp,4096.0,ceiling,1.0,True,6.7589636794016e-24,6.75895787912234e-24,4.1146158113865e-23,1.8871917596069094,True,200,0,0.0,0.0
1e+22,exp,8192.0,ceiling,1.0000000000000002,True,6.853341461751333e-24,6.853300852097805e-24,4.3323725983736543e-23,1.918473940480374,True,200,0,0.0,0.0
1e+22,exp,32768.0,ceiling,1.0000000000000002,True,7.297271047271593e-24,7.297270608659954e-24,5.47197397695249e-23,2.0524977617433042,True,200,0,0.0,0.0
1e+22,exp,131072.0,ceiling,1.0000000000000002,True,8.285904848477264e-24,8.285901998926007e-24,8.778666585383021e-23,2.2854137799382874,True,200,0,0.0,0.0
1e+22,pow,2048.0,ceiling,1.0,True,6.809474479921654e-24,6.809465167208424e-24,5.119719795727845e-23,2.0544759884173174,True,200,0,0.0,0.0
1e+22,pow,4096.0,ceiling,1.0,True,6.858403776636341e-24,6.858399842515352e-24,5.2579399422572954e-23,2.068941997384781,True,200,0,0.0,0.0
1e+22,pow,8192.0,ceiling,1.0000000000000002,True,6.949991120383974e-24,6.949981526969564e-24,5.523925290207326e-23,2.0953057106742805,True,200,0,0.0,0.0
1e+22,pow,32768.0,ceiling,1.0,True,7.382043316660674e-24,7.382031495479101e-24,6.913392179576942e-23,2.2081060143384477,True,200,0,0.0,0.0
1e+22,pow,131072.0,ceiling,1.0,True,8.349918048518764e-24,8.349912028651237e-24,1.093327807386957e-22,2.4037318926348585,True,200,0,0.0,0.0
1e+22,log,2048.0,ceiling,1.0,True,6.352990156026833e-24,6.3529907242092615e-24,4.350388045986446e-22,2.872300214400854,True,200,0,0.0,0.0
1e+22,log,4096.0,ceiling,1.0,True,6.4098635998131764e-24,6.409860855237382e-24,4.497042921380674e-22,2.8752740314853473,True,200,0,0.0,0.0
1e+22,log,8192.0,ceiling,1.0,True,6.515822856153834e-24,6.515817141811766e-24,4.779877201285167e-22,2.880570144109539,True,200,0,0.0,0.0
1e+22,log,32768.0,ceiling,0.9999999999999998,True,7.008007785487123e-24,7.008001309659042e-24,6.267188661020157e-22,2.901562980796063,True,200,0,0.0,0.0
1e+22,log,131072.0,ceiling,1.0,True,8.075110134780763e-24,8.075102537398288e-24,1.0618729613223046e-21,2.9325840599887663,True,200,0,0.0,0.0
1e+23,exp,2048.0,ceiling,1.0,True,4.410856416250994e-25,4.410854433004735e-25,8.408969940966656e-24,2.572736053234439,True,200,0,0.0,0.0
1e+23,exp,4096.0,ceiling,1.0000000000000002,True,4.44990959130154e-25,4.449907398317968e-25,8.689305948744487e-24,2.581919087966824,True,200,0,0.0,0.0
1e+23,exp,8192.0,ceiling,0.9999999999999998,True,4.522708353331694e-25,4.522705301683514e-25,9.230034559333824e-24,2.5983615183113105,True,200,0,0.0,0.0
1e+23,exp,32768.0,ceiling,0.9999999999999998,True,4.8614463625076075e-25,4.861444289045493e-25,1.2075316844400136e-23,2.6646664137077196,True,200,0,0.0,0.0
1e+23,exp,131072.0,ceiling,1.0000000000000002,True,5.5984653924673e-25,5.598282672560127e-25,2.0413375391534742e-23,2.766010426997682,True,200,0,0.0,0.0
1e+23,pow,2048.0,ceiling,1.0000000000000002,True,4.443202034944048e-25,4.443201109350227e-25,1.0457705773103242e-23,2.6475621979760247,True,200,0,0.0,0.0
1e+23,pow,4096.0,ceiling,1.0000000000000002,True,4.481607899854891e-25,4.481607115413249e-25,1.0797973324143109e-23,2.6550927867535306,True,200,0,0.0,0.0
1e+23,pow,8192.0,ceiling,0.9999999999999998,True,4.553242727245357e-25,4.553242872699268e-25,1.1454184962886991e-23,2.6685828005226524,True,200,0,0.0,0.0
1e+23,pow,32768.0,ceiling,1.0,True,4.887238872348009e-25,4.887237831447808e-25,1.49051572826431e-23,2.7230608975301633,True,200,0,0.0,0.0
1e+23,pow,131072.0,ceiling,1.0,True,5.616822175047656e-25,5.616669020582135e-25,2.5009253617216216e-23,2.8065616304743704,True,200,0,0.0,0.0
1e+23,log,2048.0,ceiling,1.0,True,4.304732786237894e-25,4.30473118008223e-25,1.0225275416862051e-22,2.962427315451946,True,200,0,0.0,0.0
1e+23,log,4096.0,ceiling,1.0,True,4.346106418020677e-25,4.346107189924485e-25,1.0595725077064679e-22,2.963384581277036,True,200,0,0.0,0.0
1e+23,log,8192.0,ceiling,1.0,True,4.423052788693923e-25,4.423050780496183e-25,1.1310584100675976e-22,2.9650782477191395,True,200,0,0.0,0.0
